,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 3
7,Resort Expert,Level 1
8,Restaurant Expert ,Level 12
9,Attraction Expert,Level 13
10,Senior Reviewer,5 Reviews
11,Helpful Reviewer,5 Votes
12,Helpful Reviewer,10 Votes
13,Readership,500 Readers
14,Readership,"1,000 Readers"
15,Contributor,10 Reviews
16,Explorer,3 Reviews
17,Senior Contributor,20 Reviews
18,Passport,43 Cities
19,Helpful Reviewer,25 Votes
20,Readership,"5,000 Readers"
21,Top Contributor,50 Reviews
22,Readership,"10,000 Readers"
23,Readership,"15,000 Readers"
24,Readership,"20,000 Readers"
25,Readership,"25,000 Readers"
26,Readership,"30,000 Readers"
27,Readership,"35,000 Readers"
28,Readership,"40,000 Readers"
29,Readership,"45,000 Readers"
30,Readership,"50,000 Readers"
31,Readership,"55,000 Readers"
32,Readership,"60,000 Readers"
33,Readership,"65,000 Readers"
