,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 3
7,B&B and Inns Expert,Level 1
8,Restaurant Expert ,Level 2
9,Attraction Expert,Level 1
10,Senior Reviewer,5 Reviews
11,Junior Photographer,5 Photos
12,Helpful Reviewer,5 Votes
13,Readership,500 Readers
14,Readership,"1,000 Readers"
15,Contributor,10 Reviews
16,Photographer,10 Photos
17,Explorer,6 Reviews
18,2015 Travelers' Choice Hotel Reviewer,1 Review
19,Senior Contributor,20 Reviews
20,Passport,18 Cities
21,Readership,"5,000 Readers"
22,Readership,"10,000 Readers"
