,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Helpful Reviewer,1 Vote
4,Readership,100 Readers
5,Hotel Expert ,Level 2
6,Restaurant Expert ,Level 7
7,Senior Reviewer,5 Reviews
8,Helpful Reviewer,5 Votes
9,Helpful Reviewer,10 Votes
10,Readership,500 Readers
11,Readership,"1,000 Readers"
12,Contributor,10 Reviews
13,Senior Contributor,20 Reviews
14,Passport,13 Cities
15,Readership,"5,000 Readers"
16,Readership,"10,000 Readers"
17,Readership,"15,000 Readers"
18,Readership,"20,000 Readers"
