,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Restaurant Expert ,Level 2
7,Attraction Expert,Level 2
8,Senior Reviewer,5 Reviews
9,Junior Photographer,5 Photos
10,Helpful Reviewer,5 Votes
11,Readership,500 Readers
12,Readership,"1,000 Readers"
13,Contributor,10 Reviews
14,Photographer,10 Photos
15,Explorer,1 Review
16,Senior Photographer,20 Photos
17,Passport,7 Cities
18,Readership,"5,000 Readers"
