,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Hotel Expert ,Level 8
5,Resort Expert,Level 3
6,Restaurant Expert ,Level 14
7,Attraction Expert,Level 1
8,Senior Reviewer,5 Reviews
9,Helpful Reviewer,5 Votes
10,Helpful Reviewer,10 Votes
11,Readership,500 Readers
12,Readership,"1,000 Readers"
13,Contributor,10 Reviews
14,Explorer,4 Reviews
15,2015 Travelers' Choice Hotel Reviewer,2 Reviews
16,Senior Contributor,20 Reviews
17,Passport,31 Cities
18,Helpful Reviewer,25 Votes
19,Readership,"5,000 Readers"
20,Top Contributor,50 Reviews
21,Helpful Reviewer,50 Votes
22,Readership,"10,000 Readers"
23,Readership,"15,000 Readers"
24,Readership,"20,000 Readers"
25,Readership,"25,000 Readers"
26,Readership,"30,000 Readers"
27,Readership,"35,000 Readers"
28,Readership,"40,000 Readers"
29,Readership,"45,000 Readers"
